               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076271,            0.047188,            0.058084,             0.46508,             0.20644,            0.089849,             0.04528,            0.055352,            0.020069,            0.053475,            0.070024,           0.0033307,           0.0033307
                   1,            0.052444,            0.042097,            0.044747,             0.49625,             0.27978,             0.13345,            0.071383,            0.044197,            0.018849,               0.048,            0.039364,           0.0060043,           0.0060043
                   2,            0.047024,            0.038886,            0.042019,              0.4976,             0.30249,             0.16022,            0.099398,            0.039647,            0.017801,            0.045961,            0.008044,           0.0080179,           0.0080179
                   3,              0.0418,            0.037845,            0.040362,             0.51372,             0.33857,             0.19185,             0.11425,            0.036485,            0.017152,            0.043778,             0.00703,             0.00703,             0.00703
                   4,            0.038868,             0.03667,            0.038606,             0.54009,             0.34827,             0.22054,             0.13529,            0.034513,            0.016895,            0.041416,             0.00703,             0.00703,             0.00703
                   5,            0.035898,            0.035061,            0.036702,              0.5617,             0.38326,             0.25812,             0.16748,            0.032732,            0.016266,            0.038905,             0.00604,             0.00604,             0.00604
                   6,            0.033835,            0.034045,            0.035213,             0.54313,             0.42662,             0.29937,             0.19297,            0.032015,            0.015866,            0.036529,             0.00505,             0.00505,             0.00505
                   7,            0.031851,            0.033029,             0.03409,             0.53444,             0.39641,             0.31661,             0.20916,            0.030939,            0.015503,            0.035265,             0.00406,             0.00406,             0.00406
                   8,            0.030303,            0.032512,            0.032612,             0.51615,             0.51316,             0.35228,             0.22796,            0.030751,            0.015473,            0.034363,             0.00307,             0.00307,             0.00307
                   9,            0.028821,            0.031795,            0.031682,             0.55226,             0.45487,             0.35609,             0.23895,             0.02932,            0.015118,            0.033181,             0.00208,             0.00208,             0.00208
